Daily	Met File BIOCON 1982 - mid2005

&ENVIRON				
CA = 360
/				

&LATLONG				
LATHEM	=	'N'		
LAT	=	45	0	0
LONHEM	=	'W'		
LONG	=	93	0	0
tzlong = 120
/				


&FORMAT				
DAYORHR	=	0		
264	7	17	0	13.17740586	2.4
265	2	14	0	16.9832636	2.383333333
266	1	13	2.03	9.717991632	2.366666667
267	-1	16	0.25	15.58242678	2.35
268	6	12	18.29	1.724686192	2.333333333
269	2	14	3.56	10.09456067	2.316666667
270	-1	20	0	17.74644351	2.3
271	5	12	3.81	3.589958159	2.283333333
272	9	15	0.03	3.369037657	2.266666667
273	11	28	0.25	12.05271967	2.25
274	9	23	1.78	15.96401674	2.233333333
275	2	9	0	5.327196653	2.216666667
276	1	11	1.27	3.881171548	2.2
277	4	11	52.07	2.756485356	2.183333333
278	2	13	6.86	9.825941423	2.166666667
279	1	7	3.56	2.89707113	2.15
280	-2	7	0	4.674476987	2.133333333
281	1	17	1.78	12.80334728	2.116666667
282	-2	13	4.83	15.74309623	2.1
283	6	16	4.57	11.82426778	2.083333333
284	11	24	0	11.841841	2.066666667
285	1	19	7.62	9.672803347	2.05
286	-2	11	0	15.28117155	2.033333333
287	-2	17	0	13.41589958	2.016666667
288	-5	8	0	11.61589958	2
289	-8	5	0	7.960669456	1.966666667
290	-5	3	1.02	4.664435146	1.933333333
291	1	6	4.06	5.146443515	1.9
292	-3	5	0	4.49874477	1.866666667
293	-3	0	0.76	1.212552301	1.833333333
294	-1	2	6.6	2.575732218	1.8
295	-2	2	0	9.183263598	1.766666667
296	-6	2	0	7.99832636	1.733333333
297	-7	6	0	6.974058577	1.7
298	2	5	0.51	1.687029289	1.666666667
299	-2	4	0	4.159832636	1.633333333
300	-5	5	0	4.820083682	1.6
301	0	5	0	1.882845188	1.566666667
302	3	9	0.03	3.763179916	1.533333333
303	-3	4	0.76	2.942259414	1.5
304	-5	2	0	10.8125523	1.466666667
305	-8	2	0	9.893723849	1.433333333
306	-5	7	0	11.21422594	1.4
307	-5	7	0	10.80251046	1.366666667
308	-5	1	0	7.385774059	1.333333333
309	-4	2	0.03	2.962343096	1.3
310	-5	6	0	8.949790795	1.266666667
311	-4	17	0	10.18242678	1.233333333
312	-1	11	0	4.973221757	1.2
313	0	11	3.3	3.946443515	1.166666667
314	-1	6	0	2.071129707	1.133333333
315	-3	4	0	5.764016736	1.1
316	-6	6	0	7.127196653	1.066666667
317	-9	3	0	3.228451883	1.033333333
318	-9	0	0	5.083682008	1
319	-10	-3	0	6.165690377	0.966666667
320	-9	1	0	5.633472803	0.933333333
321	-7	2	0	7.965690377	0.9
322	-3	7	0	5.452719665	0.866666667
323	-4	9	0	8.482845188	0.833333333
324	-5	7	0.03	5.769037657	0.8
325	-4	4	1.78	3.409205021	0.766666667
326	-4	1	0	3.635146444	0.733333333
327	-2	5	0	6.509623431	0.7
328	-7	-2	0	4.061924686	0.666666667
329	-12	-5	0	3.830962343	0.633333333
330	-12	-2	0	7.882845188	0.6
331	-10	-2	0	4.963179916	0.566666667
332	-9	7	0	6.790794979	0.533333333
333	-5	8	0	5.410041841	0.5
334	-11	-5	0	7.370711297	0.466666667
335	-9	2	0	5.59832636	0.433333333
336	-15	-4	0	7.629288703	0.4
337	-18	-6	0	7.087029289	0.366666667
338	-14	-7	0	3.720502092	0.333333333
339	-17	-5	0	7.488702929	0.3
340	-15	0	0	6.436820084	0.266666667
341	-7	1	0	5.663598326	0.233333333
342	-16	-6	0	7.305439331	0.2
343	-14	3	0	6.261087866	0.166666667
344	-6	6	0	6.389121339	0.133333333
345	-3	3	0	0.926359833	0.1
346	-3	3	0	4.40334728	0.066666667
347	-9	4	0	6.916317992	0.033333333
348	-4	8	0	6.542259414	0
349	-4	6	0	2.939748954	0
350	-7	0	0.03	1.393305439	0
351	-4	3	3.05	1.410878661	0
352	0	6	2.54	0.763179916	0
353	-1	4	0.25	0.991631799	0
354	-4	-1	0	2.922175732	0
355	-7	-3	0	3.376569038	0
356	-8	-3	0	2.952301255	0
357	-11	-4	0	6.730543933	0
358	-11	-6	0	1.137238494	0
359	-13	-5	0	6.728033473	0
360	-9	1	0	7.887866109	0
361	-7	1	0	5.69874477	0
362	-4	4	0.03	5.528033473	0
363	-6	4	0	5.179079498	0
364	-3	3	0	5.138912134	0
365	-12	-3	0	7.227615063	0
366	-18	-8	0	4.875313808	0
367	-22	-8	0	7.870292887	0
368	-20	-3	0	6.866108787	0
369	-11	0	0.51	6.188284519	0
370	-8	2	0	5.226778243	0
371	-17	-1	0	5.932217573	0
372	-18	-3	0	6.838493724	0
373	-5	9	0	6.675313808	0
374	1	9	0	7.059414226	0
375	-2	3	0	2.387447699	0
376	-4	6	0	7.584100418	0
377	-6	4	0	7.925523013	0
378	-8	1	1.02	2.234309623	0
379	-4	-2	1.52	2.046025105	0
380	-7	-3	0.03	4.189958159	0
381	-17	-7	0.03	5.430125523	0
382	-18	-7	0	8.590794979	0
383	-24	-12	0	8.836820084	0
384	-14	-1	0.25	7.654393305	0
385	-10	-2	0	4.917991632	0
386	-13	-1	0	6.994142259	0
387	-9	8	0	7.594142259	0
388	-9	0	0	3.057740586	0
389	-16	-1	0	9.351464435	0
390	-3	9	0	9.165690377	0
391	-4	10	0	8.882008368	0
392	-4	1	0	4.240167364	0
393	-11	-4	0	1.968200837	0
394	-12	-7	0	2.086192469	0
395	-15	-6	0	6.768200837	0
396	-11	-4	1.27	3.627615063	0
397	-13	-2	0	11.71380753	0
398	-12	-2	0.25	7.639330544	0
399	-16	-6	0	9.411715481	0
400	-23	-5	0	11.95230126	0
401	-14	0	0	10.68451883	0
402	2	8	0	11.29707113	0
403	-5	7	0	10.89539749	0
404	-6	10	0	10.92803347	0
405	0	3	1.52	1.925523013	0
406	-10	0	0	12.16820084	0
407	-10	6	0	7.212552301	0
408	-10	1	0	12.08284519	0
409	-12	6	0	12.21589958	0
410	-1	8	0	9.492050209	0
411	-2	6	0	9.780753138	0
412	-3	5	0	6.39916318	0
413	-10	6	0	13.20251046	0
414	1	11	0.51	8.312133891	0
415	0	4	8.89	0.858577406	0
416	-3	1	3.3	4.862761506	0
417	-12	1	0	14.3874477	0
418	-15	3	0	10.65188285	0
419	1	10	0.03	10.16485356	0
420	-6	2	2.54	1.69958159	0
421	-11	-5	0	10.34560669	0
422	-13	-7	0	9.012552301	0
423	-19	-7	0	15.47196653	0
424	-12	-7	0	14.33472803	0
425	-21	-11	0	12.13054393	0
426	-14	-8	0	14.3874477	0
427	-22	-9	0.03	17.18912134	0
428	-20	-7	0	7.310460251	0
429	-13	-4	1.78	4.917991632	0
430	-9	-6	0.25	11.54811715	0
431	-13	-5	6.6	5.841841004	0
432	-7	-1	5.08	6.291213389	0
433	-12	-1	5.84	8.994979079	0
434	-18	-7	0.03	15.11297071	0
435	-12	-1	0	14.91213389	0
436	-11	4	0	16.45606695	0
437	-1	6	0.03	12.7707113	0
438	-4	1	14.48	2.470292887	0
439	-6	-1	2.03	18.16820084	0
440	-17	3	0	20.71631799	0
441	-4	3	0.25	11.88451883	0
442	-4	6	0.76	14.81924686	0
443	-1	4	0.76	7.651882845	0
444	-9	2	0.51	15.18577406	0
445	-17	-6	0	18.76066946	0
446	-14	-6	0	21.15313808	0
447	-11	1	0	18.28368201	0
448	-10	-2	0	21.46443515	0
449	-16	-2	0	21.88368201	0
450	-14	2	0	21.57991632	0
451	-7	9	0	20.77656904	0
452	3	9	1.02	18.67531381	0
453	-2	8	0	19.91046025	0
454	-7	6	0.03	14.59079498	0
455	-5	2	0	8.5958159	0
456	-10	-2	3.56	5.756485356	0
457	-3	0	10.16	11.67615063	0
458	-7	-1	0	12.85857741	0
459	-5	1	0	16.52384937	0
460	-11	3	0	22.11715481	0
461	-7	7	0	20.84937238	0
462	6	15	0	8.769037657	0
463	3	14	0	12.92384937	0
464	-3	11	2.29	23.50543933	0
465	4	11	30.48	6.943933054	0
466	3	6	25.15	3.394142259	0
467	4	17	0	19.96820084	0
468	4	20	1.27	18.65020921	0
469	9	24	1.02	19.09205021	0
470	9	31	0	20.29456067	0
471	20	31	0.51	15.32887029	0
472	9	28	1.78	24.12803347	0.066666667
473	8	28	11.18	22.72468619	0.133333333
474	2	22	0	18.29372385	0.2
475	-1	10	0	25.22259414	0.266666667
476	-1	9	5.84	6.30125523	0.333333333
477	-2	5	1.02	13.09456067	0.4
478	1	19	0	23.98493724	0.466666667
479	5	18	0	14.58577406	0.533333333
480	-2	6	0	25.70711297	0.6
481	-4	10	1.27	23.10125523	0.666666667
482	0	9	15.24	4.325523013	0.733333333
483	1	5	3.81	8.354811715	0.8
484	4	16	1.27	22.05439331	0.866666667
485	-2	17	0	18.79330544	0.933333333
486	-1	14	0	15.71799163	1
487	-2	10	0	23.53054393	1.066666667
488	-4	18	0	28.31297071	1.133333333
489	0	15	0	16.29790795	1.2
490	-2	23	10.92	20.13138075	1.266666667
491	5	12	0	7.360669456	1.333333333
492	1	10	3.81	10.76736402	1.4
493	4	8	15.24	5.194142259	1.466666667
494	3	9	0	9.672803347	1.533333333
495	1	17	0	25.49372385	1.6
496	4	12	2.54	5.066108787	1.666666667
497	5	10	0	8.540585774	1.733333333
498	1	18	1.27	19.03933054	1.8
499	6	18	0	27.09288703	1.866666667
500	10	25	0	17.97238494	1.933333333
501	7	15	0	25.45104603	2
502	0	14	0	28.66443515	2.066666667
503	0	14	0	27.29121339	2.133333333
504	-1	14	0	28.78995816	2.2
505	-3	17	0	29.44769874	2.266666667
506	0	20	0	29.83179916	2.333333333
507	9	24	0	17.08619247	2.4
508	8	19	0	21.47698745	2.466666667
509	4	15	0	26.44016736	2.533333333
510	7	18	0.25	17.85188285	2.6
511	6	20	10.67	14.33723849	2.666666667
512	7	27	0	25.63933054	2.733333333
513	12	24	0.76	12.27364017	2.8
514	10	30	0.03	28.16987448	2.866666667
515	13	32	0	27.52970711	2.933333333
516	14	30	0	27.34393305	3
517	14	28	0	28.91548117	3
518	8	21	5.08	14.13640167	3
519	8	13	0.03	4.132217573	3
520	6	14	2.54	5.641004184	3
521	4	24	0	23.29958159	3
522	10	26	7.62	27.8083682	3
523	15	26	2.54	19.27029289	3
524	14	24	0	9.49707113	3
525	19	29	0	21.8209205	3
526	18	28	13.97	13.87531381	3
527	16	24	0	19.60669456	3
528	13	22	1.27	22.03179916	3
529	11	21	1.02	19.7874477	3
530	10	25	0	22.22008368	3
531	10	23	0.76	27.65271967	3
532	8	25	0.76	24.5623431	3
533	14	25	0.03	19.641841	3
534	14	27	0	22.15732218	3
535	20	26	26.42	9.444351464	3
536	15	26	1.02	27.68284519	3
537	15	20	33.02	3.391631799	3
538	19	32	0	24.03012552	3
539	19	28	12.7	18.46443515	3
540	17	25	11.68	6.778242678	3
541	19	31	7.11	22.75230126	3
542	17	28	0	28.82259414	3
543	15	30	0	25.47112971	3
544	17	30	0	25.03430962	3
545	21	33	0	27.93389121	3
546	25	36	0	28.63682008	3
547	23	33	0	27.86610879	3
548	23	30	0	20.43012552	3
549	15	30	2.29	24.92887029	3
550	12	29	0	30.01757322	3
551	17	28	0	25.71213389	3
552	21	35	20.83	26.23179916	3
553	20	31	16	19.58158996	3
554	20	29	1.02	16.88033473	3
555	17	31	0	26.52301255	3
556	15	22	65.02	6.439330544	3
557	14	25	0	25.05941423	3
558	11	27	1.78	28.62677824	3
559	12	28	0	21.88870293	3
560	13	29	0	26.43514644	3
561	16	29	0	27.47949791	3
562	18	32	0	27.56485356	3
563	20	34	0	27.25857741	3
564	20	26	0	13.04686192	3
565	16	26	0	15.65523013	3
566	19	29	3.56	15.13807531	3
567	21	32	22.86	21.18577406	3
568	15	25	0	23.68619247	3
569	9	23	0.03	26.50543933	3
570	14	22	3.81	10.97322176	3
571	16	27	19.05	11.48284519	3
572	17	31	0	25.24016736	3
573	17	28	17.78	15.83096234	3
574	19	31	8.89	24.63012552	3
575	17	28	0	24.30125523	3
576	18	33	0	24.11548117	3
577	21	32	2.54	19.12719665	3
578	15	26	0	22.45606695	3
579	11	25	0	28.03430962	3
580	13	20	22.35	7.915481172	3
581	18	25	1.27	10.27280335	3
582	16	26	0	21.59246862	3
583	13	22	0	19.72970711	3
584	15	26	0	22.08953975	3
585	17	28	0.03	23.42008368	3
586	17	29	0.51	21.09539749	3
587	19	26	1.78	22.73221757	3
588	16	32	0.03	25.20753138	3
589	16	24	4.83	13.07949791	3
590	12	24	10.16	18.04518828	3
591	11	28	37.08	25.16485356	3
592	16	25	0	15.66276151	3
593	11	26	0	20.558159	3
594	10	21	0	19.36569038	2.983333333
595	6	22	0	26.01589958	2.966666667
596	8	24	0	25.20502092	2.95
597	10	25	10.16	23.68619247	2.933333333
598	17	26	37.08	7.041841004	2.916666667
599	16	24	0	7.707112971	2.9
600	15	25	0	8.19916318	2.883333333
601	14	28	0	20.70376569	2.866666667
602	13	28	0	22.52635983	2.85
603	12	28	0	22.53640167	2.833333333
604	15	27	0	20.02594142	2.816666667
605	15	28	1.27	15.41924686	2.8
606	18	25	0	13.00167364	2.783333333
607	16	26	0	18.71046025	2.766666667
608	18	28	0	20.51297071	2.75
609	18	30	33.02	17.96485356	2.733333333
610	14	27	0	16.57154812	2.716666667
611	10	27	0	23.01338912	2.7
612	11	29	0.03	22.01924686	2.683333333
613	17	27	1.27	15.70543933	2.666666667
614	17	29	30.48	17.91966527	2.65
615	21	33	0	20.21171548	2.633333333
616	19	32	0	20.34476987	2.616666667
617	21	30	0	20.73389121	2.6
618	12	23	30.23	20.68870293	2.583333333
619	9	25	0.03	17.7539749	2.566666667
620	11	27	0.03	19.09707113	2.55
621	14	20	0.03	6.853556485	2.533333333
622	9	21	10.67	8.151464435	2.516666667
623	4	20	0	20.92468619	2.5
624	10	27	0	19.98577406	2.483333333
625	10	26	0.03	19.10460251	2.466666667
626	16	25	0.03	12.16066946	2.45
627	13	22	0	10.29790795	2.433333333
628	11	22	1.02	10.25020921	2.416666667
629	7	17	0	13.17740586	2.4
630	2	14	0	16.9832636	2.383333333
631	1	13	2.03	9.717991632	2.366666667
632	-1	16	0.25	15.58242678	2.35
633	6	12	18.29	1.724686192	2.333333333
634	2	14	3.56	10.09456067	2.316666667
635	-1	20	0	17.74644351	2.3
636	5	12	3.81	3.589958159	2.283333333
637	9	15	0.03	3.369037657	2.266666667
638	11	28	0.25	12.05271967	2.25
639	9	23	1.78	15.96401674	2.233333333
640	2	9	0	5.327196653	2.216666667
641	1	11	1.27	3.881171548	2.2
642	4	11	52.07	2.756485356	2.183333333
643	2	13	6.86	9.825941423	2.166666667
644	1	7	3.56	2.89707113	2.15
645	-2	7	0	4.674476987	2.133333333
646	1	17	1.78	12.80334728	2.116666667
647	-2	13	4.83	15.74309623	2.1
648	6	16	4.57	11.82426778	2.083333333
649	11	24	0	11.841841	2.066666667
650	1	19	7.62	9.672803347	2.05
651	-2	11	0	15.28117155	2.033333333
652	-2	17	0	13.41589958	2.016666667
653	-5	8	0	11.61589958	2
654	-8	5	0	7.960669456	1.966666667
655	-5	3	1.02	4.664435146	1.933333333
656	1	6	4.06	5.146443515	1.9
657	-3	5	0	4.49874477	1.866666667
658	-3	0	0.76	1.212552301	1.833333333
659	-1	2	6.6	2.575732218	1.8
660	-2	2	0	9.183263598	1.766666667
661	-6	2	0	7.99832636	1.733333333
662	-7	6	0	6.974058577	1.7
663	2	5	0.51	1.687029289	1.666666667
664	-2	4	0	4.159832636	1.633333333
665	-5	5	0	4.820083682	1.6
666	0	5	0	1.882845188	1.566666667
667	3	9	0.03	3.763179916	1.533333333
668	-3	4	0.76	2.942259414	1.5
669	-5	2	0	10.8125523	1.466666667
670	-8	2	0	9.893723849	1.433333333
671	-5	7	0	11.21422594	1.4
672	-5	7	0	10.80251046	1.366666667
673	-5	1	0	7.385774059	1.333333333
674	-4	2	0.03	2.962343096	1.3
675	-5	6	0	8.949790795	1.266666667
676	-4	17	0	10.18242678	1.233333333
677	-1	11	0	4.973221757	1.2
678	0	11	3.3	3.946443515	1.166666667
679	-1	6	0	2.071129707	1.133333333
680	-3	4	0	5.764016736	1.1
681	-6	6	0	7.127196653	1.066666667
682	-9	3	0	3.228451883	1.033333333
683	-9	0	0	5.083682008	1
684	-10	-3	0	6.165690377	0.966666667
685	-9	1	0	5.633472803	0.933333333
686	-7	2	0	7.965690377	0.9
687	-3	7	0	5.452719665	0.866666667
688	-4	9	0	8.482845188	0.833333333
689	-5	7	0.03	5.769037657	0.8
690	-4	4	1.78	3.409205021	0.766666667
691	-4	1	0	3.635146444	0.733333333
692	-2	5	0	6.509623431	0.7
693	-7	-2	0	4.061924686	0.666666667
694	-12	-5	0	3.830962343	0.633333333
695	-12	-2	0	7.882845188	0.6
696	-10	-2	0	4.963179916	0.566666667
697	-9	7	0	6.790794979	0.533333333
698	-5	8	0	5.410041841	0.5
699	-11	-5	0	7.370711297	0.466666667
700	-9	2	0	5.59832636	0.433333333
701	-15	-4	0	7.629288703	0.4
702	-18	-6	0	7.087029289	0.366666667
703	-14	-7	0	3.720502092	0.333333333
704	-17	-5	0	7.488702929	0.3
705	-15	0	0	6.436820084	0.266666667
706	-7	1	0	5.663598326	0.233333333
707	-16	-6	0	7.305439331	0.2
708	-14	3	0	6.261087866	0.166666667
709	-6	6	0	6.389121339	0.133333333
710	-3	3	0	0.926359833	0.1
711	-3	3	0	4.40334728	0.066666667
712	-9	4	0	6.916317992	0.033333333
713	-4	8	0	6.542259414	0
714	-4	6	0	2.939748954	0
715	-7	0	0.03	1.393305439	0
716	-4	3	3.05	1.410878661	0
717	0	6	2.54	0.763179916	0
718	-1	4	0.25	0.991631799	0
719	-4	-1	0	2.922175732	0
720	-7	-3	0	3.376569038	0
721	-8	-3	0	2.952301255	0
